Referencia;Sheet;1Q11;2Q11;3Q11;4Q11;2011;1Q12;2Q12;3Q12;4Q12;2012;1Q13;2Q13;3Q13;4Q13;2013;1Q14;2Q14;3Q14;4Q14;2014;1Q15;2Q15;3Q15;4Q15;2015;1Q16;2Q16;3Q16;4Q16;2016;1Q17;2Q17;3Q17;4Q17;2017;1Q18;2Q18;3Q18;4Q18;2018;1Q19;2Q19;3Q19;4Q19;2019;1Q20;2Q20;3Q20;4Q20;2020;1Q21;2Q21;3Q21;4Q21;2021;1Q22;2Q22;3Q22;4Q22;2022;1Q23;2Q23;3Q23
Passivos - Banco Pan Passivos;InputSite_Highlights;-;-;-;-;-;-;-;-;0,00;0,00;-;-;-;0,00;0,00;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33519,98;35993,66;38525,93;38525,93;40082,62;40924,29;40958,76;37822,94;37822,94;37623,21;39135,69;41252,00
Passivos - Outras obrigações;InputSite_Highlights;-;-;-;-;-;-;-;-;5081,18;5081,18;-;-;-;5188,06;5188,06;-;-;-;8362,59;8362,59;8922,53;11420,20;13371,70;20778,84;20778,84;18902,71;19604,49;8060,38;8424,07;8424,07;7301,98;8383,46;10596,75;11029,56;11029,56;14276,11;11145,23;10920,55;12235,47;12235,47;11034,55;12021,84;11441,90;12447,96;12447,96;9118,81;11395,04;12091,68;13881,99;13881,99;13433,40;13081,66;16673,93;20298,60;20298,60;22320,49;25186,82;27777,88;35193,21;35193,21;36744,92;36259,76;37456,00
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;-;-;-;-;-;-;-;-;31254,94;31254,94;-;-;-;47773,33;47773,33;-;-;-;59489,65;59489,65;61715,80;60561,61;149639,27;125020,77;125020,77;110765,73;86050,86;34883,51;31582,88;31582,88;29472,27;28796,86;27421,34;29473,07;29473,07;32962,02;36785,91;41162,44;41498,31;41498,31;43455,52;48653,10;51959,14;53210,48;53210,48;60722,53;79600,18;100013,48;106795,64;106795,64;120728,12;127145,84;145210,91;153555,81;153555,81;154696,91;164608,74;169651,70;175215,31;175215,31;177945,42;181079,22;192680,18
Passivos - Depósitos à vista;InputSite_Highlights;-;-;-;-;-;-;-;-;0,00;0,00;-;-;-;0,00;0,00;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;-;-;-;-;-;-;-;-;19850,08;19850,08;-;-;-;28880,01;28880,01;-;-;-;44194,76;44194,76;56756,36;47678,75;65114,96;63866,89;63866,89;54091,89;53531,54;34200,77;30572,34;30572,34;36880,23;28158,40;24545,29;35072,19;35072,19;37810,66;41296,06;39048,75;31152,54;31152,54;45851,12;43314,36;51320,64;41484,22;41484,22;50626,72;62833,38;62528,76;39488,22;39488,22;60892,81;52206,70;57144,34;37629,44;37629,44;58910,00;91911,90;59987,79;79810,73;79810,73;90356,31;75113,32;77198,00
Passivos - Liquidação pendente;InputSite_Highlights;-;-;-;-;-;-;-;-;6418,28;6418,28;-;-;-;1400,33;1400,33;-;-;-;2660,43;2660,43;2971,34;1852,62;7616,59;5808,93;5808,93;4670,89;3525,08;1293,70;1334,45;1334,45;1157,72;1237,06;3194,88;1467,80;1467,80;7578,96;6210,83;10926,69;2349,64;2349,64;5151,44;7403,68;4741,69;5420,49;5420,49;6090,86;4332,32;4653,88;3414,06;3414,06;5203,61;4287,53;6450,23;4052,53;4052,53;5067,88;6288,61;5674,43;4846,26;4846,26;3641,81;4357,32;4557,00
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;-;-;-;-;-;-;-;-;50610,35;50610,35;-;-;-;24431,78;24431,78;-;-;-;29724,27;29724,27;29876,12;39300,62;31238,65;15815,67;15815,67;11816,62;17005,09;16797,09;19535,77;19535,77;27916,31;30080,25;25237,48;27978,01;27978,01;31996,21;39158,79;38998,25;27986,01;27986,01;36276,28;38288,19;27319,70;30044,77;30044,77;51363,96;46238,27;47495,48;54282,71;54282,71;48751,56;67956,60;72514,12;52648,90;52648,90;68316,77;82011,66;91048,37;72826,66;72826,66;77421,50;89400,34;93027,00
Passivos - Total Passivos;InputSite_Highlights;-;-;-;-;-;-;-;-;123316,31;123316,31;-;-;-;119801,33;119801,33;-;-;-;162662,86;162662,86;179909,39;181005,24;290410,74;254548,68;254548,68;223729,19;203419,87;119028,33;111771,56;111771,56;125170,51;119113,24;113709,83;126591,76;126591,76;146334,06;157375,61;163855,73;137646,42;137646,42;164718,10;173629,73;167986,23;164382,63;164382,63;200357,05;230411,17;253211,89;244925,34;244925,34;279803,73;335195,34;372234,68;346142,67;346142,67;391349,06;454826,69;439904,72;450612,09;450612,09;470401,48;474552,15;496439,00
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;-;-;0,00;1574,21;1574,21;1593,53;1427,05;2024,00;284,00;284,00;488,57;220,39;142,80;156,50;156,50;155,22;186,15;222,51;168,29;168,29;283,05;292,50;113,41;125,59;125,59;129,05;148,00;89,37;128,55;128,55;132,63;96,18;290,48;441,32;441,32;363,82;314,02;343,75;287,30;287,30;406,04;474,76;415,94;624,86;624,86;1127,91;1388,07;1972,69;2656,31;2656,31;5693,15;7422,12;8393,50;9731,91;9731,91;10559,01;12174,89;13740,69;12932,91;12932,91;13020,62;10955,64;11240,38
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;-;-;0,00;576,40;576,40;938,52;823,80;520,90;627,00;627,00;528,77;458,85;337,28;388,61;388,61;395,62;422,59;690,83;769,82;769,82;987,45;903,11;983,62;1475,37;1475,37;298,78;168,19;216,61;226,13;226,13;319,85;326,15;227,30;136,84;136,84;243,90;177,91;269,41;378,41;378,41;451,60;404,69;417,78;261,94;261,94;271,57;396,23;768,84;1569,30;1569,30;822,84;1588,23;1734,97;2380,15;2380,15;2041,70;2981,50;3852,29;3298,57;3298,57;2812,62;1167,57;2440,36
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;-;-;0,00;12060,45;12060,45;12600,13;14120,70;14258,80;13713,00;13713,00;16441,62;20692,59;20910,16;20502,08;20502,08;18255,51;17295,23;23123,20;23480,59;23480,59;21009,35;20495,13;22523,66;17357,26;17357,26;13681,48;10864,89;10470,82;8973,80;8973,80;9641,63;9359,23;8698,46;9254,66;9254,66;12842,62;15061,12;17324,57;18214,61;18214,61;16746,27;19950,29;18467,58;18765,80;18765,80;22499,08;33327,96;46725,35;52362,18;52362,18;55942,65;59658,36;69626,67;78715,75;78715,75;72530,85;75331,60;74302,06;79531,74;79531,74;86618,92;92188,41;96536,11
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;-;-;0,00;3774,63;3774,63;4302,88;5012,13;6570,30;8480,00;8480,00;12525,96;14272,21;13977,31;14896,97;14896,97;15688,14;17506,00;18754,83;20783,77;20783,77;22375,33;22356,85;24095,40;18816,27;18816,27;16403,71;13411,12;10684,00;9716,21;9716,21;8363,83;8343,19;7378,52;9677,49;9677,49;9515,94;11733,43;13487,17;13776,76;13776,76;14236,27;16399,13;20711,58;22304,47;22304,47;24393,03;32034,26;37176,81;38026,85;38026,85;44515,94;46976,00;51391,25;47080,62;47080,62;49612,68;53296,45;56925,22;56765,56;56765,56;57799,02;56886,82;58427,82
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;-;-;0,00;4158,30;4158,30;4230,91;4486,37;6147,90;6246,00;6246,00;6313,60;6575,70;6616,54;6748,72;6748,72;6857,76;6966,17;7134,04;7418,56;7418,56;8057,19;8191,07;8879,65;7906,27;7906,27;7809,84;7723,03;7817,80;7282,99;7282,99;7296,01;6797,44;6721,63;6317,24;6317,24;6340,73;5836,11;5932,59;5266,16;5266,16;7780,17;7643,53;7902,17;7091,47;7091,47;8332,02;8026,26;8134,49;7074,49;7074,49;7562,60;5756,82;6089,26;7654,63;7654,63;6827,35;7437,77;7252,50;7780,17;7780,17;7938,39;11637,10;15569,21
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3158,72;3497,84;3497,84;4144,95;4096,74;5137,70;5160,40;5160,40;4604,33;4244,37;4197,00;4305,20;4305,20;4104,18;4377,90;4104,80;3043,31;3043,31;3007,62;3559,81;3618,87;3579,53;3579,53;3500,10;3514,85;382,09;388,09;388,09;380,82;384,35;379,76;382,07;382,07;379,88;383,64;381,91;390,83;390,83;384,80;399,56;387,47;428,84;428,84;423,63;438,29;423,82
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;-;-;0,00;919,72;919,72;1450,70;1407,31;1760,70;1905,00;1905,00;1883,03;3397,70;4226,83;5080,47;5080,47;6185,20;5072,83;6050,61;6868,63;6868,63;9003,44;8084,15;10250,59;6718,16;6718,16;6940,60;5789,75;3886,00;3544,82;3544,82;3718,33;3874,68;4104,94;3645,53;3645,53;3662,00;3703,51;3804,95;3575,07;3575,07;3835,18;3780,69;4044,07;4161,94;4161,94;4098,93;4427,41;5195,02;5106,51;5106,51;6190,94;5744,30;7975,26;7992,75;7992,75;13125,31;13386,52;13578,94;14906,36;14906,36;9755,84;8243,68;8466,08
Evolução do Unsecured Funding - Total;InputSite_Highlights;-;-;0,00;23063,70;23063,70;25116,68;27277,36;31282,60;31255,00;31255,00;38181,55;45617,44;46210,93;47773,33;47773,33;47537,45;47448,99;59134,73;62987,49;62987,49;65860,75;64419,54;71984,03;57559,32;57559,32;49867,79;42349,35;37361,61;34177,71;34177,71;33576,45;33174,76;31526,14;32516,38;32516,38;35976,63;40385,91;44781,31;45077,84;45077,84;46955,63;52167,95;52341,22;53598,57;53598,57;61103,34;79984,54;100352,96;107177,71;107177,71;121108,01;127529,48;145592,82;153946,64;153946,64;155081,71;165008,30;170039,17;175644,15;175644,15;178369,05;181517,50;193103,78
Investment Banking - Receitas;InputSite_BusinessAreas ;89,73;108,96;93,52;46,11;338,32;50,19;128,62;148,24;120,99;448,05;103,96;175,01;130,72;49,73;459,42;70,28;196,93;116,79;72,05;456,05;40,96;161,95;66,09;113,80;382,79;62,09;79,89;110,21;114,88;367,07;152,33;19,30;50,73;144,22;366,59;110,09;209,93;57,97;86,03;464,02;175,39;185,96;281,30;306,11;948,75;188,57;221,67;402,11;514,69;1327,04;483,60;685,20;726,56;414,59;2309,94;350,89;485,32;524,80;484,70;1845,71;260,18;305,61;590,07
Número de transações - Financial advisory (M&A);InputSite_BusinessAreas ;11,00;6,00;11,00;22,00;50,00;23,00;34,00;15,00;15,00;87,00;8,00;15,00;17,00;16,00;56,00;12,00;12,00;8,00;12,00;44,00;5,00;12,00;12,00;18,00;47,00;9,00;7,00;9,00;6,00;31,00;10,00;5,00;9,00;14,00;38,00;12,00;14,00;16,00;13,00;55,00;4,00;15,00;16,00;9,00;44,00;5,00;3,00;18,00;12,00;38,00;13,00;15,00;19,00;21,00;68,00;17,00;23,00;18,00;6,00;64,00;9,00;15,00;11,00
Número de transações - Equity underwriting (ECM);InputSite_BusinessAreas ;5,00;7,00;0,00;0,00;12,00;0,00;6,00;1,00;11,00;18,00;5,00;7,00;5,00;5,00;22,00;4,00;2,00;1,00;0,00;7,00;1,00;2,00;0,00;1,00;4,00;1,00;0,00;5,00;4,00;10,00;7,00;4,00;9,00;11,00;31,00;3,00;8,00;4,00;1,00;16,00;4,00;10,00;15,00;12,00;41,00;5,00;6,00;19,00;10,00;40,00;19,00;20,00;19,00;4,00;62,00;9,00;5,00;5,00;3,00;22,00;3,00;9,00;9,00
Número de transações - Debt underwriting (DCM);InputSite_BusinessAreas ;10,00;15,00;8,00;11,00;44,00;18,00;11,00;6,00;13,00;48,00;18,00;12,00;8,00;18,00;56,00;6,00;12,00;18,00;13,00;49,00;8,00;9,00;4,00;3,00;24,00;8,00;1,00;8,00;10,00;27,00;7,00;8,00;7,00;16,00;38,00;12,00;7,00;10,00;7,00;36,00;7,00;24,00;21,00;14,00;66,00;14,00;13,00;19,00;22,00;68,00;25,00;31,00;40,00;39,00;135,00;15,00;33,00;37,00;32,00;117,00;13,00;16,00;25,00
Valor (US$ mm) - Financial advisory (M&A);InputSite_BusinessAreas ;2021,78;6947,01;9384,03;7143,66;25496,48;11624,84;11015,79;3139,97;3088,53;28869,13;1982,27;6399,19;7896,15;19855,14;36132,75;7019,86;5339,13;3694,97;13676,00;29729,96;4141,76;3027,52;1902,63;9030,17;18102,08;3053,23;12344,28;2133,49;1115,16;18646,16;4357,17;1106,01;11760,89;4649,42;21873,49;2584,64;5239,72;1791,26;4114,04;13729,66;1144,15;2898,46;1576,36;622,96;6241,93;132,94;250,00;7919,79;16250,70;24553,43;16933,85;4671,01;10631,25;8217,45;40453,56;7117,45;3035,05;3536,83;1836,66;15525,99;1747,72;624,10;2239,81
Valor (US$ mm) - Equity underwriting (ECM);InputSite_BusinessAreas ;617,37;1441,96;0,00;0,00;2059,33;0,00;592,00;173,50;1005,71;1771,21;606,86;1101,80;617,16;493,70;2819,52;232,85;474,12;71,92;0,00;778,89;157,12;186,62;0,00;58,75;402,49;33,52;0,00;239,98;1688,11;1961,61;2643,17;227,67;602,18;637,17;4110,19;327,49;963,66;513,44;175,00;1979,59;248,09;888,35;1402,92;673,47;3212,83;299,57;404,86;1074,12;616,13;2394,68;1190,45;1497,06;1327,49;373,49;4388,49;753,20;739,97;235,72;193,82;1922,71;330,00;2676,00;572,81
Valor (US$ mm) - Debt underwriting (DCM);InputSite_BusinessAreas ;1538,56;1140,90;611,52;926,09;4217,07;2372,06;725,81;1233,01;1401,29;5732,17;2378,03;1368,90;1468,12;1778,95;6994,00;604,25;1743,46;2056,67;2767,63;7172,02;323,90;2351,66;305,02;453,23;3433,81;251,35;274,70;792,90;1090,08;2409,03;2560,82;2070,25;2575,88;3142,87;10349,81;2413,37;689,20;630,97;507,30;4240,84;917,00;1565,40;1480,80;680,30;4643,50;987,04;117,91;598,63;723,61;2427,19;1703,80;2037,22;2559,96;3428,57;9729,54;1158,44;1980,72;1989,15;2801,79;7930,09;918,25;1296,24;3256,05
Corporate & SME Lending - Receitas;InputSite_BusinessAreas ;68,99;118,78;59,79;118,92;366,48;102,09;139,50;139,88;182,12;563,59;210,15;183,47;184,57;186,68;764,87;196,20;191,89;195,47;91,78;675,34;317,80;301,57;236,01;128,06;983,43;206,48;275,79;217,58;176,71;876,56;155,24;288,97;183,41;162,49;790,11;170,89;233,81;310,66;133,42;848,78;185,85;191,95;206,69;229,22;813,71;266,61;302,71;425,11;596,48;1590,91;554,84;655,00;642,34;742,75;2594,94;816,63;877,53;936,86;105,14;2736,16;1191,91;1277,32;1322,02
Por Área - Corporate Lending;InputSite_BusinessAreas ;8207,45;14352,35;16127,56;19203,92;19203,92;18807,38;23113,02;26115,88;30694,45;30694,45;33077,21;31529,61;31727,45;36210,89;36210,89;35252,95;36526,75;39735,28;45888,92;45888,92;42951,39;41680,99;42771,73;29225,33;29225,33;25812,48;21711,35;20448,82;19349,71;19349,71;20061,42;21317,44;21596,66;21828,05;21828,05;22536,94;26069,33;26102,58;29702,94;29702,94;30809,29;34240,88;39272,35;43793,98;43793,98;47725,17;57208,61;68290,26;73700,55;73700,55;80448,91;86396,03;97578,32;106589,30;106589,30;111451,87;117662,16;129752,70;144264,76;144264,76;143380,01;153819,42;160581,70
Por Setor - Utilities;InputSite_BusinessAreas ;0,21;0,18;0,15;0,20;0,20;0,20;0,13;0,17;0,20;0,20;0,20;0,22;0,22;0,21;0,21;0,23;0,27;0,25;0,28;0,28;0,29;0,30;0,28;0,32;0,32;0,31;0,32;0,32;0,31;0,31;0,32;0,31;0,31;0,29;0,29;0,29;0,25;0,22;0,24;0,24;0,22;0,21;0,23;0,21;0,21;0,21;0,21;0,21;0,24;0,24;0,23;0,21;0,20;0,20;0,20;0,23;0,22;0,24;0,24;0,24;0,23;0,20;0,16
Por Setor - WM, Payroll and Consumer;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,16
Por Setor - Financials;InputSite_BusinessAreas ;0,00;0,00;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,03;0,03;0,03;0,03;0,06;0,06;0,06;0,04;0,04;0,04;0,07;0,08;0,07;0,07;0,07;0,07;0,09;0,09;0,09;0,11;0,09;0,11;0,10;0,10;0,13;0,13;0,11;0,13;0,13;0,14;0,16;0,17;0,16;0,16;0,17;0,13;0,13
Por Setor - Agribusiness;InputSite_BusinessAreas ;0,10;0,08;0,09;0,09;0,09;0,08;0,08;0,08;0,07;0,07;0,07;0,09;0,09;0,08;0,08;0,08;0,06;0,06;0,05;0,05;0,06;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05;0,05;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,05;0,06;0,06;0,05;0,05;0,05;0,07;0,06;0,06;0,06;0,07;0,08;0,09;0,08;0,08;0,08;0,07;0,07
Por Setor - Retail;InputSite_BusinessAreas ;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,05;0,06;0,06;0,05;0,05;0,06;0,05;0,05;0,06;0,06;0,07;0,06;0,08;0,00;0,00;0,03;0,03;0,03;0,04;0,04;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,04;0,04;0,04;0,06;0,10;0,10;0,11;0,11;0,09;0,10;0,08;0,09;0,09;0,08;0,08;0,07;0,07;0,07;0,06;0,06;0,06
Por Setor - Real Estate;InputSite_BusinessAreas ;0,14;0,12;0,11;0,12;0,12;0,13;0,12;0,11;0,10;0,10;0,11;0,11;0,11;0,10;0,10;0,11;0,09;0,08;0,07;0,07;0,07;0,06;0,06;0,07;0,07;0,07;0,07;0,05;0,05;0,05;0,04;0,03;0,04;0,03;0,03;0,04;0,04;0,05;0,05;0,05;0,06;0,05;0,06;0,06;0,06;0,06;0,07;0,07;0,04;0,04;0,05;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,05
Por Setor - Oil & Gas;InputSite_BusinessAreas ;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,05;0,04;0,05;0,06;0,04;0,04;0,04;0,06;0,06;0,04;0,04;0,04;0,05;0,06;0,08;0,08;0,08;0,08;0,09;0,10;0,10;0,10;0,13;0,14;0,13;0,13;0,14;0,12;0,11;0,09;0,09;0,09;0,08;0,08;0,08;0,08;0,09;0,08;0,07;0,06;0,06;0,06;0,05;0,04;0,03;0,03;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05
Por Setor - Food & Beverage;InputSite_BusinessAreas ;0,03;0,02;0,05;0,05;0,05;0,05;0,04;0,03;0,04;0,04;0,04;0,03;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,00;0,02;0,02;0,04;0,05;0,04;0,05;0,05;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,03;0,04;0,04;0,04;0,05;0,06;0,07;0,07;0,06;0,07;0,05;0,06;0,06;0,07;0,09;0,08;0,08;0,08;0,07;0,06;0,05;0,06;0,06;0,05;0,05;0,04
Por Setor - Metals & Mining;InputSite_BusinessAreas ;0,05;0,05;0,05;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,03;0,03;0,03;0,03;0,04;0,05;0,05;0,06;0,05;0,05;0,05;0,05;0,02;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05
Por Setor - Water & Sewage;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,05
Por Setor - Infrastructure;InputSite_BusinessAreas ;0,10;0,07;0,09;0,09;0,09;0,08;0,17;0,13;0,18;0,18;0,17;0,16;0,16;0,16;0,16;0,13;0,09;0,10;0,10;0,10;0,10;0,10;0,09;0,10;0,10;0,14;0,12;0,12;0,09;0,09;0,07;0,07;0,08;0,07;0,07;0,06;0,07;0,07;0,06;0,06;0,06;0,08;0,08;0,07;0,07;0,09;0,08;0,07;0,05;0,05;0,06;0,08;0,08;0,09;0,09;0,05;0,05;0,03;0,03;0,03;0,04;0,04;0,04
Por Setor - Telecom;InputSite_BusinessAreas ;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,02
Por Setor - Government;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02
Por Setor - Auto-Parts;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,02;0,00;0,02;0,02;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02
Por Setor - Forest Products & Paper;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
Por Setor - Healthcare;InputSite_BusinessAreas ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
Por Setor - Petrochemicals;InputSite_BusinessAreas ;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Por Setor - Wealth Management;InputSite_BusinessAreas ;0,14;0,09;0,11;0,03;0,03;0,03;0,02;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,03;0,03;0,07;0,07;0,07;0,07;0,07;0,08;0,09;0,09;0,07;0,07;0,07;0,07;0,07;0,06;0,06;0,08;0,06;0,06;0,06;0,07;0,12;0,10;0,10;0,08;0,07;0,07;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,05;0,04;0,04;0,04;0,00;0,00
Por Setor - Outros;InputSite_BusinessAreas ;0,18;0,33;0,27;0,29;0,29;0,31;0,30;0,32;0,27;0,27;0,25;0,21;0,21;0,27;0,27;0,26;0,26;0,27;0,26;0,26;0,24;0,24;0,22;0,18;0,18;0,09;0,09;0,08;0,09;0,09;0,10;0,11;0,11;0,18;0,18;0,18;0,18;0,19;0,22;0,22;0,24;0,22;0,12;0,16;0,16;0,13;0,12;0,12;0,14;0,14;0,13;0,12;0,14;0,14;0,14;0,11;0,12;0,12;0,13;0,13;0,13;0,03;0,04
Por Setor - Total;InputSite_BusinessAreas ;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
Por Produto - Empréstimos;InputSite_BusinessAreas ;4944,61;5704,24;5475,00;5301,00;5301,00;5243,89;5552,08;6848,31;8562,62;8562,62;12090,04;13178,40;13568,54;16308,69;16308,69;14878,05;15048,19;17496,34;20133,82;20133,82;19616,35;20515,87;23407,03;15454,04;15454,04;13843,83;11242,13;10836,66;11116,26;11116,26;12271,10;13073,21;14205,68;15527,13;15527,13;16406,88;17999,46;17612,91;20210,33;20210,33;22402,91;24297,94;27418,40;31464,85;31464,85;31253,11;38844,12;46091,07;51116,00;51116,00;56100,82;59444,65;64504,04;69876,17;69876,17;74451,06;79575,30;83636,35;90071,70;90071,70;89552,79;79538,62;84671,96
