Referencia;Sheet;1Q11;2Q11;3Q11;4Q11;2011;1Q12;2Q12;3Q12;4Q12;2012;1Q13;2Q13;3Q13;4Q13;2013;1Q14;2Q14;3Q14;4Q14;2014;1Q15;2Q15;3Q15;4Q15;2015;1Q16;2Q16;3Q16;4Q16;2016;1Q17;2Q17;3Q17;4Q17;2017;1Q18;2Q18;3Q18;4Q18;2018;1Q19;2Q19;3Q19;4Q19;2019;1Q20;2Q20;3Q20;4Q20;2020;1Q21;2Q21;3Q21;4Q21;2021;1Q22;2Q22;3Q22;4Q22;2022;1Q23;2Q23;3Q23
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;-;-;-;-;319,00;0,00;220,00;0,00;220,00;440,00;0,00;255,00;0,00;246,90;501,90;0,00;301,80;0,00;298,20;600,00;0,00;422,00;0,00;492,70;914,70;0,00;500,00;0,00;890,00;1390,00;0,00;630,00;0,00;609,00;1239,00;0,00;0,00;592,50;604,50;1197,00;0,00;0,00;624,00;541,00;1165,00;0,00;0,00;533,00;563,00;1096,00;0,00;0,00;650,00;825,00;1475,00;0,00;0,00;1200,00;1315,00;2515,00;0,00;0,00;1530,00
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;5601,00;5827,00;5646,00;6340,00;6340,00;6763,00;8954,00;9387,06;10101,47;10101,47;10592,15;11028,99;11649,57;12127,82;12127,82;13061,80;13479,58;14275,33;14733,33;14733,33;15522,28;16333,51;18919,30;19713,27;19713,27;20401,23;20882,17;21314,48;17727,22;17727,22;18337,83;18079,31;18609,30;18523,69;18523,69;18702,49;19218,98;19180,18;18844,93;18844,93;19449,08;20433,72;20821,09;21386,63;21386,63;22053,35;25627,62;26048,84;26680,66;26680,66;30414,35;35040,32;36259,35;37379,75;37379,75;39299,53;41358,74;42261,95;42371,77;42371,77;44207,59;46708,47;47772,33
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;71535,00;75151,00;100640,00;82012,00;82012,00;96902,00;117534,03;131258,27;123316,31;123316,31;147369,32;168568,59;170127,32;119801,33;119801,33;133545,42;129811,15;146480,71;162662,86;162662,86;176956,35;181005,24;290410,74;254548,68;254548,68;223729,19;203419,87;119028,33;111771,56;111771,56;125170,50;119112,65;113709,83;126591,61;126591,61;146334,06;157415,80;163855,73;137646,42;137646,42;211805,80;173629,73;167986,23;164382,63;164382,63;200357,05;230411,17;253211,89;244925,34;244925,34;279803,73;335195,34;372234,68;346142,67;346142,67;391349,06;454826,69;439904,72;450612,09;450612,09;470401,48;474552,15;496439,12
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;800,00;800,00;800,00;800,00;800,00;800,00;882,80;882,80;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;904,97;938,60;898,78;898,78;1111,16;1111,16;926,16;920,26;920,26;911,53;903,87;893,87;888,64;888,64;886,83;879,83;879,66;872,72;872,72;872,72;872,72;872,50;871,99;871,99;3506,37;3616,94;3616,94;3616,94;3616,94;3728,05;3825,66;3825,66;3835,37;3835,37;3834,53;3832,16;3830,83;3825,37;3825,37;3811,25;3811,25;3811,25
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;0,30;0,17;0,11;0,59;0,25;0,26;0,27;0,19;0,28;0,25;0,19;0,28;0,22;0,27;0,24;0,30;0,26;0,23;0,21;0,25;0,25;0,33;0,42;0,32;0,33;0,20;0,19;0,14;0,15;0,18;0,16;0,11;0,11;0,14;0,13;0,13;0,13;0,12;0,12;0,13;0,14;0,19;0,19;0,22;0,19;0,14;0,16;0,16;0,19;0,17;0,16;0,21;0,20;0,19;0,20;0,20;0,21;0,21;0,16;0,20;0,20;0,21;0,22
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;0,00;0,17;0,11;0,59;0,25;0,26;0,27;0,19;0,28;0,25;0,19;0,28;0,22;0,27;0,24;0,30;0,26;0,23;0,21;0,25;0,25;0,33;0,42;0,32;0,33;0,20;0,19;0,14;0,15;0,18;0,19;0,13;0,17;0,16;0,16;0,14;0,14;0,14;0,15;0,15;0,15;0,21;0,21;0,19;0,19;0,15;0,18;0,16;0,19;0,17;0,17;0,21;0,20;0,19;0,20;0,22;0,22;0,22;0,17;0,21;0,21;0,23;0,23
Principais Indicadores - ROAA;InputSite_Highlights;0,01;0,01;0,01;0,04;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;0,00;0,01;0,01;0,04;0,23;0,02;0,02;0,01;0,02;0,25;0,01;0,02;0,01;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02
Principais Indicadores - Índice de eficiência;InputSite_Highlights;0,43;0,44;0,49;0,49;0,46;0,43;0,55;0,47;0,50;0,49;0,42;0,45;0,39;0,45;0,43;0,34;0,47;0,41;0,46;0,42;0,38;0,44;0,49;0,48;0,46;0,51;0,59;0,54;0,52;0,54;0,42;0,58;0,43;0,54;0,48;0,44;0,47;0,47;0,52;0,48;0,43;0,40;0,39;0,39;0,40;0,43;0,42;0,44;0,37;0,41;0,43;0,41;0,43;0,38;0,41;0,44;0,43;0,42;0,52;0,45;0,44;0,44;0,42
Principais Indicadores - Índice de remuneração;InputSite_Highlights;0,24;0,22;0,26;0,31;0,26;0,33;0,26;0,31;0,19;0,27;0,25;0,24;0,20;0,28;0,24;0,20;0,26;0,19;0,30;0,23;0,19;0,27;0,32;0,28;0,27;0,30;0,32;0,18;0,23;0,28;0,20;0,23;0,22;0,27;0,23;0,22;0,22;0,22;0,29;0,24;0,23;0,23;0,19;0,21;0,22;0,19;0,27;0,27;0,22;0,24;0,26;0,25;0,25;0,18;0,23;0,23;0,22;0,21;0,22;0,22;0,22;0,22;0,22
Principais Indicadores - VP por Unit;InputSite_Highlights;7,00;7,28;7,06;7,92;7,92;8,45;10,14;10,63;11,16;11,16;11,70;12,19;12,87;13,40;13,40;14,43;14,90;15,77;16,28;16,28;17,15;18,05;20,16;21,93;21,93;18,36;18,79;23,01;19,26;19,26;20,12;20,00;20,82;20,84;20,84;21,09;21,84;21,80;21,59;21,59;22,29;23,41;23,86;24,53;24,53;6,29;7,09;7,20;7,38;7,38;8,16;9,16;9,48;9,75;9,75;10,25;10,79;11,03;11,08;11,08;11,60;12,26;12,53
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;96,85;100,67;113,20;120,14;120,14;130,31;132,47;150,60;170,69;170,69;175,49;186,09;188,83;189,48;189,48;188,49;190,65;194,60;201,38;201,38;215,39;214,85;230,54;192,51;192,51;135,63;118,40;115,86;115,75;115,75;120,15;127,91;136,78;144,92;144,92;163,67;170,36;184,21;207,52;207,52;214,07;226,42;253,88;272,97;272,97;268,77;303,96;329,26;377,09;377,09;449,88;501,41;541,92;552,67;552,67;585,71;605,08;665,49;707,29;707,29;716,84;767,82;807,53
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;0,00;33,56;38,69;38,85;38,85;42,00;40,84;43,50;62,20;62,20;66,68;64,90;65,45;67,57;67,57;68,17;70,48;76,45;81,03;81,03;87,25;91,94;422,46;426,53;426,53;369,11;310,00;295,31;73,73;73,73;79,87;81,70;84,42;86,91;86,91;100,20;107,29;115,54;119,24;119,24;133,63;141,94;158,33;167,97;167,97;160,65;193,39;221,53;258,35;258,35;317,37;378,90;399,96;427,78;427,78;458,06;462,54;508,63;546,48;546,48;568,28;630,24;665,85
Principais Indicadores - Funcionários;InputSite_Highlights;1190,00;1242,00;1328,00;1287,17;1287,17;1357,00;1434,00;1539,00;2192,00;2192,00;2516,00;2553,00;2717,00;2715,00;2715,00;2877,00;3054,00;3163,00;3277,00;3277,00;3246,00;3299,00;5253,00;5189,20;5189,20;4614,01;4551,00;4475,90;1971,00;1971,00;1988,00;2011,00;2027,00;2037,00;2037,00;2103,00;2164,00;2202,00;2218,00;2218,00;2251,00;2337,00;2443,00;2566,00;2566,00;2773,00;2855,00;3173,00;3515,00;3515,00;3824,00;4175,00;4903,00;5211,00;5211,00;6293,00;6430,00;6695,00;6963,00;6963,00;7097,00;7122,00;7162,00
Principais Indicadores - Sócios e Associados;InputSite_Highlights;139,00;138,00;136,00;139,17;139,17;165,00;165,00;165,00;162,00;162,00;186,00;185,00;182,00;181,00;181,00;208,00;205,00;203,00;203,00;203,00;247,00;245,00;241,00;239,00;239,00;198,00;189,00;234,00;230,00;230,00;224,00;219,00;214,00;241,00;241,00;238,00;236,00;199,00;222,00;222,00;221,00;217,00;221,00;247,00;247,00;241,00;236,00;237,00;259,00;259,00;260,00;258,00;260,00;291,00;291,00;288,00;284,00;283,00;317,00;317,00;348,00;344,00;343,00
